grade,region_group,task_id,score
9,Rest,9.4,7.0
9,Rest,9.5,6.0
9,Rest,9.6,8.0
9,Rest,9.7,11.0
9,Rest,9.8,6.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,2.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,2.0
9,Rest,Теор,24.0
9,Rest,Прак,17.0
9,Rest,Блиц,20.0
9,Rest,№,50.0
9,Rest,9.1,0.0
9,Rest,9.2,0.0
9,Rest,9.3,7.0
9,Rest,9.4,5.0
9,Rest,9.5,2.0
9,Rest,9.6,8.0
9,Rest,9.7,12.0
9,Rest,9.8,10.0
9,Rest,9.1.1,1.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,1.0
9,Rest,Теор,22.0
9,Rest,Прак,22.0
9,Rest,Блиц,17.0
9,Rest,№,51.0
9,Rest,9.1,0.0
9,Rest,9.2,10.0
9,Rest,9.3,1.0
9,Rest,9.4,5.0
9,Rest,9.5,2.0
9,Rest,9.6,0.0
9,Rest,9.7,11.0
9,Rest,9.8,12.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,3.0
9,Rest,9.4.1,1.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,1.0
9,Rest,Теор,18.0
9,Rest,Прак,23.0
9,Rest,Блиц,20.0
9,Rest,№,52.0
9,Rest,9.1,4.0
9,Rest,9.2,1.0
9,Rest,9.3,5.0
9,Rest,9.4,4.0
9,Rest,9.5,3.0
9,Rest,9.6,0.0
9,Rest,9.7,14.0
9,Rest,9.8,3.0
